peso_kg,categoria,ap_kg_dia,req_proteico
437.5,vaquillonas,1.0,666.0
437.5,vaquillonas,1.2,818.8
437.5,vaquillonas,1.4,0.0
450.0,vaquillonas,0.2,588.0
450.0,vaquillonas,0.4,669.0
450.0,vaquillonas,0.6,708.0
450.0,vaquillonas,0.8,728.0
450.0,vaquillonas,1.0,670.0
450.0,vaquillonas,1.2,824.0
450.0,vaquillonas,1.4,0.0
